,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
30,30,4.769297320531443,0.49715909090909094,2023-10-04 20:11:09.241571,2023-10-04 20:36:48.812344,0 days 00:25:39.570773,55,xavier,3,0.00022318797367628027,0.0024939405536152904,0,COMPLETE
31,31,5.098257139778759,0.5,2023-10-04 20:36:48.815190,2023-10-04 21:04:49.630543,0 days 00:28:00.815353,60,kaiming,3,0.00024335945877135298,0.0029438243879293126,0,COMPLETE
32,32,0.7903480678796768,0.5666666666666667,2023-10-04 21:04:49.633204,2023-10-04 21:15:35.214644,0 days 00:10:45.581440,25,xavier,4,2.4754932835120276e-05,0.0003080938019287428,0,COMPLETE
33,33,2.717385365104487,0.48999999999999994,2023-10-04 21:15:35.217548,2023-10-04 21:32:56.589442,0 days 00:17:21.371894,40,kaiming,4,0.00010992437533630567,0.006786251294044068,0,COMPLETE
34,34,2.1633443085085937,0.5499999999999999,2023-10-04 21:32:56.593922,2023-10-04 21:46:05.326497,0 days 00:13:08.732575,30,xavier,4,0.0002472513665668183,0.0002380811832552451,0,COMPLETE
35,35,1.3963954277685844,0.5,2023-10-04 21:46:05.329170,2023-10-04 22:07:56.922391,0 days 00:21:51.593221,45,kaiming,5,8.62253171693055e-05,0.00013725342542279201,0,COMPLETE
36,36,0.5748293817043304,0.7,2023-10-04 22:07:56.925720,2023-10-04 22:22:42.867952,0 days 00:14:45.942232,30,xavier,5,1.1935401995024835e-05,0.00036416936499233997,0,COMPLETE
37,37,1.2823972479307224,0.4133333333333333,2023-10-04 22:22:42.870819,2023-10-04 22:44:16.973089,0 days 00:21:34.102270,50,xavier,4,3.5027997512900245e-05,0.0006215810086304727,0,COMPLETE
38,38,2.0309624874630203,0.5080884828678947,2023-10-04 22:44:16.975767,2023-10-04 23:09:34.363302,0 days 00:25:17.387535,55,xavier,2,4.887138695816922e-05,0.0005727605686497398,0,COMPLETE
39,39,4.0834558518193775,0.5052075702075702,2023-10-04 23:09:34.366593,2023-10-04 23:27:59.873581,0 days 00:18:25.506988,40,kaiming,2,0.00010059254213327516,0.0005528757168425545,0,COMPLETE
40,40,1.5561517770402133,0.6166666666666666,2023-10-04 23:27:59.877230,2023-10-04 23:55:19.423153,0 days 00:27:19.545923,60,xavier,5,5.6386574571688674e-05,0.0007921782749878397,0,COMPLETE
41,41,3.0979281148624067,0.29999999999999993,2023-10-04 23:55:19.426109,2023-10-05 00:17:26.967102,0 days 00:22:07.540993,50,kaiming,5,0.000171512819560701,0.0005690522489778454,0,COMPLETE
42,42,1.1830460057421415,0.516965811965812,2023-10-05 00:17:26.969316,2023-10-05 00:34:52.669945,0 days 00:17:25.700629,40,kaiming,2,2.7363932521931824e-05,0.003063467287903117,0,COMPLETE
43,43,1.5624728308904365,0.5841136933242197,2023-10-05 00:34:52.672931,2023-10-05 01:00:57.283766,0 days 00:26:04.610835,60,kaiming,2,3.32099174032435e-05,0.001078098404494367,0,COMPLETE
44,44,0.8155157774686813,0.21666666666666665,2023-10-05 01:00:57.289145,2023-10-05 01:07:17.164487,0 days 00:06:19.875342,15,xavier,5,1.4757891457099025e-05,0.003385092252430027,0,COMPLETE
45,45,0.7496519160590001,0.6344387755102041,2023-10-05 01:07:17.171766,2023-10-05 01:14:32.777126,0 days 00:07:15.605360,20,xavier,3,1.3840372924128387e-05,0.0002436535934717878,0,COMPLETE
46,46,4.4352190806919225,0.3833333333333333,2023-10-05 01:14:32.779775,2023-10-05 01:33:37.453227,0 days 00:19:04.673452,45,xavier,5,0.000248874384433753,0.0021889252962985603,0,COMPLETE
47,47,5.653532171274401,0.5094047619047619,2023-10-05 01:33:37.455657,2023-10-05 01:41:25.661655,0 days 00:07:48.205998,20,kaiming,3,0.0003342944801380899,0.0028625480948500513,0,COMPLETE
48,48,1.886323358733398,0.5333333333333333,2023-10-05 01:41:25.664183,2023-10-05 01:58:18.963465,0 days 00:16:53.299282,40,xavier,5,0.00018596605454214673,0.001671006174957121,0,COMPLETE
49,49,0.8268696546933993,0.5727998236331568,2023-10-05 01:58:18.967638,2023-10-05 02:06:34.897724,0 days 00:08:15.930086,20,xavier,2,1.2877790433575135e-05,0.0015401474318360504,0,COMPLETE
50,50,0.8324141229901996,0.5666666666666667,2023-10-05 02:06:34.900995,2023-10-05 02:29:37.932395,0 days 00:23:03.031400,60,kaiming,4,2.9987012829741616e-05,0.00021202173104437007,1,COMPLETE
51,51,3.6819839959871126,0.4133333333333334,2023-10-05 02:29:37.935290,2023-10-05 02:39:29.630361,0 days 00:09:51.695071,25,xavier,4,0.0003540328172173084,0.001628931112865895,1,COMPLETE
52,52,1.4062479632241387,0.41000000000000003,2023-10-05 02:39:29.635339,2023-10-05 02:47:19.043523,0 days 00:07:49.408184,20,kaiming,4,6.434487915103275e-05,0.006750909760326444,1,COMPLETE
53,53,1.2817477470263838,0.5,2023-10-05 02:47:19.045763,2023-10-05 02:51:38.604789,0 days 00:04:19.559026,10,xavier,5,0.00018596605454214673,0.0001502101708284709,1,COMPLETE
54,54,4.029326748880476,0.5333333333333333,2023-10-05 02:51:38.608634,2023-10-05 03:14:01.746703,0 days 00:22:23.138069,50,kaiming,5,0.0005643420122479468,0.0007392899359134408,1,COMPLETE
55,55,2.1376484547614787,0.5574420024420025,2023-10-05 03:14:01.750479,2023-10-05 03:21:03.758439,0 days 00:07:02.007960,15,kaiming,2,9.14840848404229e-05,0.00024588196761306773,1,COMPLETE
56,56,0.70315772895036,0.6193181818181819,2023-10-05 03:21:03.761492,2023-10-05 03:45:01.944600,0 days 00:23:58.183108,55,xavier,3,1.3840372924128387e-05,0.0002436535934717878,1,COMPLETE
57,57,0.7605865240097046,0.25,2023-10-05 03:45:01.947990,2023-10-05 04:11:20.951486,0 days 00:26:19.003496,60,xavier,5,1.3759676014151267e-05,0.0007921782749878397,1,COMPLETE
58,58,1.3278710819780826,0.3,2023-10-05 04:11:20.954010,2023-10-05 04:20:04.829899,0 days 00:08:43.875889,20,kaiming,5,0.00018194679089302034,0.001671006174957121,1,COMPLETE
59,59,5.653532171274401,0.5094047619047619,2023-10-05 04:20:04.837781,2023-10-05 04:27:37.543250,0 days 00:07:32.705469,20,kaiming,3,0.0003342944801380899,0.0028625480948500513,1,COMPLETE
60,60,5.201800254566626,0.4916666666666667,2023-10-05 04:27:37.546133,2023-10-05 04:52:59.749312,0 days 00:25:22.203179,60,kaiming,2,0.0001764773482334698,0.00015465682561471234,1,COMPLETE
61,61,0.8741607863456011,0.6833333333333333,2023-10-05 04:52:59.756725,2023-10-05 05:10:07.074855,0 days 00:17:07.318130,40,kaiming,5,2.9031746159753427e-05,0.00034787918884659504,1,COMPLETE
62,62,0.7535297889262438,0.3,2023-10-05 05:10:07.079914,2023-10-05 05:22:24.002001,0 days 00:12:16.922087,30,xavier,5,6.549806015316304e-05,0.0005309161885858447,1,COMPLETE
63,63,1.4182019703090192,0.21666666666666665,2023-10-05 05:22:24.005074,2023-10-05 05:24:30.876481,0 days 00:02:06.871407,5,xavier,5,8.278590129938037e-05,0.00048511658243463097,1,COMPLETE
64,64,0.860074972388921,0.5119449831214538,2023-10-05 05:24:30.879223,2023-10-05 05:31:16.596347,0 days 00:06:45.717124,15,xavier,2,1.7165994995213587e-05,0.00048511658243463097,1,COMPLETE
65,65,0.9727875626611489,0.46075757575757575,2023-10-05 05:31:16.599102,2023-10-05 05:41:31.495919,0 days 00:10:14.896817,25,xavier,2,2.4754932835120276e-05,0.0003080938019287428,1,COMPLETE
66,66,1.7657625214196742,0.5333333333333333,2023-10-05 05:41:31.505494,2023-10-05 05:58:59.629460,0 days 00:17:28.123966,40,kaiming,5,7.756983343103515e-05,0.0001518929960483665,1,COMPLETE
67,67,6.054387629497365,0.5,2023-10-05 05:58:59.631860,2023-10-05 06:22:51.618340,0 days 00:23:51.986480,55,kaiming,2,0.0005618628079159029,0.0005062069485405821,1,COMPLETE
68,68,8.058643484130608,0.525,2023-10-05 06:22:51.622410,2023-10-05 06:46:42.627884,0 days 00:23:51.005474,55,xavier,5,0.0005431502206389211,0.00036416936499233997,1,COMPLETE
69,69,0.9003060325980187,0.5,2023-10-05 06:46:42.636347,2023-10-05 07:06:09.363878,0 days 00:19:26.727531,45,kaiming,5,1.7165994995213587e-05,0.0030343061368623236,1,COMPLETE
70,70,0.8050085262528489,0.5066666666666666,2023-10-05 07:06:09.366997,2023-10-05 07:15:30.075593,0 days 00:09:20.708596,25,xavier,4,2.3908207388030162e-05,0.0003080938019287428,1,COMPLETE
71,71,0.9173487206920982,0.7666666666666666,2023-10-05 07:15:30.080895,2023-10-05 07:22:02.420491,0 days 00:06:32.339596,15,xavier,5,8.62253171693055e-05,0.00013725342542279201,1,COMPLETE
72,72,1.3308203966265346,0.3358843537414966,2023-10-05 07:22:02.424827,2023-10-05 07:30:24.729344,0 days 00:08:22.304517,20,xavier,3,7.756983343103515e-05,0.0017055418029547835,1,COMPLETE
73,73,3.24504483391272,0.564700650226966,2023-10-05 07:30:24.731897,2023-10-05 07:55:58.043313,0 days 00:25:33.311416,60,kaiming,2,5.490779643815036e-05,0.0015401474318360504,1,COMPLETE
74,74,0.8235675187660727,0.5622387742975978,2023-10-05 07:55:58.051802,2023-10-05 08:08:49.377270,0 days 00:12:51.325468,30,xavier,2,1.1935401995024835e-05,0.00036416936499233997,1,COMPLETE
75,75,1.8961947329697204,0.5061891195224529,2023-10-05 08:08:49.380935,2023-10-05 08:10:54.744475,0 days 00:02:05.363540,5,xavier,2,0.00018999824252825717,0.0005309161885858447,1,COMPLETE
76,76,0.8347307406365871,0.6166666666666666,2023-10-05 08:10:54.747482,2023-10-05 08:30:55.328623,0 days 00:20:00.581141,45,xavier,5,4.887138695816922e-05,0.0005727605686497398,1,COMPLETE
77,77,5.921515004886663,0.43666666666666665,2023-10-05 08:30:55.333265,2023-10-05 08:36:52.224558,0 days 00:05:56.891293,15,kaiming,4,0.00037440644834010737,0.0006272761746264421,1,COMPLETE
78,78,3.6093340506366074,0.5,2023-10-05 08:36:52.230548,2023-10-05 08:49:51.968688,0 days 00:12:59.738140,30,xavier,5,0.00015141969357094926,0.00036416936499233997,1,COMPLETE
79,79,0.679805839913232,0.6102437641723356,2023-10-05 08:49:51.972216,2023-10-05 08:57:57.979822,0 days 00:08:06.007606,20,kaiming,3,1.630310812977364e-05,0.0029438243879293126,1,COMPLETE
