,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.8819280463512296,0.6531135531135531,2023-10-05 09:36:19.525426,2023-10-05 09:53:11.528970,0 days 00:16:52.003544,15,kaiming,2,2.8849846807152815e-05,0.0007240564749235818,0,COMPLETE
1,1,0.7551065665652168,0.4660556571531084,2023-10-05 09:53:11.534827,2023-10-05 10:12:08.032554,0 days 00:18:56.497727,15,xavier,1,1.2448928023137529e-05,0.0008136842972819564,0,COMPLETE
2,2,3.249925906153888,0.5425377961570934,2023-10-05 10:12:08.035956,2023-10-05 11:13:12.571245,0 days 01:01:04.535289,50,xavier,1,6.25384404239836e-05,0.0009193049702517272,0,COMPLETE
3,3,1.3696772027295085,0.6995833333333333,2023-10-05 11:13:12.590676,2023-10-05 12:07:11.924925,0 days 00:53:59.334249,50,kaiming,3,3.574167006871853e-05,0.0006556779764099088,0,COMPLETE
4,4,5.755944136235861,0.5166666666666667,2023-10-05 12:07:11.929001,2023-10-05 12:34:14.407307,0 days 00:27:02.478306,25,xavier,3,0.000342843799349812,0.0007236372607636099,0,COMPLETE
5,5,5.262940611185253,0.53,2023-10-05 12:34:14.435606,2023-10-05 13:33:12.785653,0 days 00:58:58.350047,55,kaiming,3,0.0002819453236773298,0.0006859048265314149,0,COMPLETE
6,6,1.3338090483150962,0.5382600732600732,2023-10-05 13:33:12.798739,2023-10-05 13:48:47.126298,0 days 00:15:34.327559,15,xavier,2,4.773549729319668e-05,0.0035992333233405335,0,COMPLETE
7,7,0.8336800017527171,0.5678514739229026,2023-10-05 13:48:47.130140,2023-10-05 13:53:27.498491,0 days 00:04:40.368351,5,xavier,3,1.1679619171489141e-05,0.0014380290598660795,0,COMPLETE
8,8,3.9472564288876777,0.5341666666666667,2023-10-05 13:53:27.502227,2023-10-05 14:55:22.008583,0 days 01:01:54.506356,60,kaiming,3,0.00018315107706269511,0.0074798618879300975,0,COMPLETE
9,9,1.0928768418166996,0.4574689596593644,2023-10-05 14:55:22.012003,2023-10-05 15:40:19.980539,0 days 00:44:57.968536,40,xavier,1,1.5306959131371536e-05,0.0028452472543695293,0,COMPLETE
10,10,0.8663854145473484,0.4837059211541971,2023-10-05 15:40:19.984689,2023-10-05 16:44:30.365802,0 days 01:04:10.381113,55,kaiming,1,1.4024090210974123e-05,0.001792154754647962,0,COMPLETE
11,11,0.7743207974359393,0.5333333333333333,2023-10-05 16:44:30.376869,2023-10-05 17:09:05.265130,0 days 00:24:34.888261,20,xavier,5,6.975653459927224e-05,0.00017547968478021298,0,COMPLETE
12,12,5.441475748506761,0.5081730769230769,2023-10-05 17:09:05.272366,2023-10-05 17:58:07.120866,0 days 00:49:01.848500,45,xavier,2,0.00019396761279813138,0.005667013718222987,0,COMPLETE
13,13,6.08215117007042,0.4845925925925926,2023-10-05 17:58:07.126122,2023-10-05 18:20:30.127145,0 days 00:22:23.001023,15,xavier,1,0.00017721519246836106,0.0021461327168469653,0,COMPLETE
14,14,3.6042113974172283,0.5905555555555556,2023-10-05 18:20:30.131693,2023-10-05 19:04:23.961264,0 days 00:43:53.829571,30,kaiming,3,0.00021017396277480896,0.007285434548970235,0,COMPLETE
15,15,6.342518804680597,0.5,2023-10-05 19:04:23.965306,2023-10-05 19:42:57.319574,0 days 00:38:33.354268,25,xavier,1,0.00043678170839453527,0.00032930843304891855,0,COMPLETE
16,16,3.6814148511791442,0.6007651942482527,2023-10-05 19:42:57.330572,2023-10-05 21:21:38.448016,0 days 01:38:41.117444,55,kaiming,0,1.4510096296956352e-05,0.0009822224922547494,0,COMPLETE
17,17,3.253258281565312,0.59875,2023-10-05 21:21:38.453289,2023-10-05 22:22:43.130951,0 days 01:01:04.677662,50,kaiming,3,0.00016765220625381932,0.00021371490781538888,0,COMPLETE
18,18,2.8880888807790015,0.5666666666666667,2023-10-05 22:22:43.134466,2023-10-05 23:18:25.283248,0 days 00:55:42.148782,45,kaiming,4,0.0001561637794961329,0.00033012725414536837,0,COMPLETE
19,19,5.6360798497982305,0.5017241379310345,2023-10-05 23:18:25.286353,2023-10-05 23:41:46.153694,0 days 00:23:20.867341,15,kaiming,0,0.0003485508569100011,0.0014341012541354513,0,COMPLETE
