,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,1.359628104099937,0.6818485436132495,2023-10-06 11:03:52.161120,2023-10-06 11:14:54.400915,0 days 00:11:02.239795,30,xavier,2,0.00011173466668817375,0.0037160543418125937,0,COMPLETE
1,1,0.7240028858184815,0.5608673469387755,2023-10-06 11:14:54.403023,2023-10-06 11:18:39.472218,0 days 00:03:45.069195,10,xavier,3,1.103162029548029e-05,0.0001031830472902898,0,COMPLETE
2,2,2.800466023753054,0.5950136745923853,2023-10-06 11:18:39.474409,2023-10-06 11:31:31.867358,0 days 00:12:52.392949,35,xavier,0,1.6914851472713254e-05,0.0029609175499840123,0,COMPLETE
3,3,4.110385811923564,0.5754336352414314,2023-10-06 11:31:31.870731,2023-10-06 11:42:30.162213,0 days 00:10:58.291482,30,xavier,0,0.00020424025865283676,0.0016210963073353777,0,COMPLETE
4,4,4.69336448890855,0.5,2023-10-06 11:42:30.165382,2023-10-06 11:49:08.734584,0 days 00:06:38.569202,25,kaiming,4,0.0004635647290080599,0.0001076601865883437,0,COMPLETE
5,5,0.8447101607918739,0.3333333333333333,2023-10-06 11:49:08.737366,2023-10-06 11:53:27.844270,0 days 00:04:19.106904,15,kaiming,5,2.6869004799013752e-05,0.0013326190271531894,0,COMPLETE
6,6,0.6972372502088546,0.5833333333333333,2023-10-06 11:53:27.846245,2023-10-06 11:59:14.241559,0 days 00:05:46.395314,20,xavier,5,2.0448711407993483e-05,0.0006112226304363858,0,COMPLETE
7,7,0.9152235522866249,0.5002267573696145,2023-10-06 11:59:14.244116,2023-10-06 12:00:40.413773,0 days 00:01:26.169657,5,xavier,3,0.0001052962346196663,0.004273201905602122,0,COMPLETE
8,8,0.7695016686405455,0.4333333333333334,2023-10-06 12:00:40.416441,2023-10-06 12:09:49.837547,0 days 00:09:09.421106,35,xavier,4,1.7866179515856557e-05,0.0011787886682736303,0,COMPLETE
9,9,5.854751728897924,0.5127884057971015,2023-10-06 12:09:49.840178,2023-10-06 12:20:31.394511,0 days 00:10:41.554333,40,xavier,0,0.0004353061520290724,0.00056610412501742,0,COMPLETE
10,10,2.039342073262614,0.6055111555111555,2023-10-06 12:20:31.396383,2023-10-06 12:26:14.341528,0 days 00:05:42.945145,40,xavier,2,9.710757428222468e-05,0.008634698824905767,0,COMPLETE
11,11,1.3894640370518743,0.611034337179848,2023-10-06 12:26:14.347122,2023-10-06 12:34:17.467110,0 days 00:08:03.119988,55,kaiming,2,4.3204263789531995e-05,0.00046202815071751455,0,COMPLETE
12,12,0.7259747194392341,0.7266666666666666,2023-10-06 12:34:17.468938,2023-10-06 12:36:55.762674,0 days 00:02:38.293736,20,xavier,4,4.128694326477883e-05,0.0004948380717618535,0,COMPLETE
13,13,1.0759069710969924,0.6333333333333333,2023-10-06 12:36:55.764690,2023-10-06 12:44:18.373931,0 days 00:07:22.609241,50,xavier,5,6.164455400121485e-05,0.0010471004932738532,0,COMPLETE
14,14,4.386272170485479,0.58,2023-10-06 12:44:18.375678,2023-10-06 12:50:37.310860,0 days 00:06:18.935182,50,xavier,4,0.0006433348642461906,0.004129318840706345,0,COMPLETE
15,15,0.7955313079335071,0.5362865497076024,2023-10-06 12:50:37.312510,2023-10-06 12:52:03.974532,0 days 00:01:26.662022,10,xavier,2,1.6545655959994484e-05,0.0004197596022629908,0,COMPLETE
