,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,0.9897519129569885,0.3945201040789276,2023-10-05 22:08:14.184975,2023-10-05 22:25:49.983009,0 days 00:17:35.798034,25,xavier,2,4.748325087258305e-05,0.0006777878675108189,0,COMPLETE
1,1,0.7520907267928123,0.36666666666666664,2023-10-05 22:25:49.987401,2023-10-05 22:53:46.676081,0 days 00:27:56.688680,35,xavier,5,4.501836040268129e-05,0.008180614600674046,0,COMPLETE
2,2,1.4071123637041894,0.5549575877506912,2023-10-05 22:53:46.679143,2023-10-05 23:41:16.427348,0 days 00:47:29.748205,55,kaiming,1,4.709492713833973e-05,0.0004978137732221181,0,COMPLETE
3,3,0.7599197728293283,0.5527777777777778,2023-10-05 23:41:16.431656,2023-10-05 23:47:52.543742,0 days 00:06:36.112086,10,kaiming,3,2.243574328767332e-05,0.004543522589323746,0,COMPLETE
4,4,1.5221733041326944,0.6175579975579975,2023-10-05 23:47:52.548171,2023-10-05 23:59:28.583801,0 days 00:11:36.035630,15,kaiming,2,0.00021481087696991217,0.0002524644528354622,0,COMPLETE
5,5,0.8626825904111481,0.5871888142721475,2023-10-05 23:59:28.593756,2023-10-06 00:31:39.474125,0 days 00:32:10.880369,40,xavier,2,5.849999803752645e-05,0.00034319859286548437,0,COMPLETE
6,6,1.6904442589303408,0.5228511521046004,2023-10-06 00:31:39.476559,2023-10-06 00:52:57.305243,0 days 00:21:17.828684,20,xavier,0,4.768189361265499e-05,0.0011745932368776124,0,COMPLETE
7,7,0.7371941126331134,0.4900488400488401,2023-10-06 00:52:57.308423,2023-10-06 01:03:52.679437,0 days 00:10:55.371014,15,kaiming,2,3.0512227587802067e-05,0.0004404357153264346,0,COMPLETE
8,8,0.7833474504096166,0.6966666666666668,2023-10-06 01:03:52.690231,2023-10-06 01:40:23.605866,0 days 00:36:30.915635,50,kaiming,4,3.4322827977790274e-05,0.007342926706686216,0,COMPLETE
9,9,0.986107026998486,0.5800963718820861,2023-10-06 01:40:23.609531,2023-10-06 01:44:30.941255,0 days 00:04:07.331724,5,xavier,3,0.00012094567190533819,0.006312525425924432,0,COMPLETE
