,number,values_0,values_1,datetime_start,datetime_complete,duration,params_epochs,params_init_weights,params_log batch size,params_lr,params_weight_decay,system_attrs_nsga2:generation,state
0,0,1.2410827162941651,0.4575113378684807,2023-10-03 14:07:08.317310,2023-10-03 14:22:38.534665,0 days 00:15:30.217355,40,kaiming,3,7.672220156739509e-05,0.004044880682765469,0,COMPLETE
1,1,2.244233203758319,0.6566666666666666,2023-10-03 14:22:38.537486,2023-10-03 14:24:34.879622,0 days 00:01:56.342136,5,xavier,4,0.0005657564892298061,0.004320363265466555,0,COMPLETE
2,2,0.788682040039982,0.45,2023-10-03 14:24:34.882503,2023-10-03 14:51:15.468258,0 days 00:26:40.585755,55,xavier,4,3.012207670055604e-05,0.00028497024655562255,0,COMPLETE
3,3,0.8179081955126355,0.55,2023-10-03 14:51:15.473887,2023-10-03 15:12:57.243588,0 days 00:21:41.769701,35,kaiming,4,3.525973585021787e-05,0.006261328128729501,0,COMPLETE
4,4,0.7977864435740879,0.57,2023-10-03 15:12:57.247547,2023-10-03 15:23:33.129520,0 days 00:10:35.881973,15,xavier,4,1.6084300481483158e-05,0.0003589387296547444,0,COMPLETE
5,5,2.1501841641214146,0.4704506802721088,2023-10-03 15:23:33.133894,2023-10-03 15:33:01.171048,0 days 00:09:28.037154,25,kaiming,3,0.00011789815799850332,0.000203223477247333,0,COMPLETE
6,6,4.769297320531444,0.5,2023-10-03 15:33:01.174530,2023-10-03 16:01:36.385159,0 days 00:28:35.210629,55,kaiming,3,0.0005417884349615063,0.007175705037923835,0,COMPLETE
7,7,5.75617677827339,0.5,2023-10-03 16:01:36.390802,2023-10-03 16:23:44.812170,0 days 00:22:08.421368,35,xavier,3,0.0004916117420364425,0.004398651524956734,0,COMPLETE
8,8,0.7369027940290315,0.4780555555555555,2023-10-03 16:23:44.814991,2023-10-03 16:30:21.058162,0 days 00:06:36.243171,10,xavier,3,1.6147880321497183e-05,0.0002355246733838576,0,COMPLETE
9,9,2.2286891726444344,0.45166666666666666,2023-10-03 16:30:21.061088,2023-10-03 16:55:35.829283,0 days 00:25:14.768195,40,kaiming,4,0.0001266659124378391,0.00027962496772424434,0,COMPLETE
10,10,0.8670863037928939,0.6333333333333333,2023-10-03 16:55:35.832001,2023-10-03 17:20:36.289646,0 days 00:25:00.457645,55,kaiming,5,9.749619489153226e-05,0.0005510890090878681,0,COMPLETE
11,11,0.6722905593258993,0.5266666666666667,2023-10-03 17:20:36.292177,2023-10-03 17:31:45.262852,0 days 00:11:08.970675,30,kaiming,4,4.249324728401812e-05,0.0011934641286516384,0,COMPLETE
12,12,2.5878919379228527,0.5212273242630385,2023-10-03 17:31:45.265407,2023-10-03 17:48:52.934256,0 days 00:17:07.668849,45,kaiming,3,0.00010757745840433041,0.0045341842880751325,0,COMPLETE
13,13,5.431912659082771,0.4752607709750567,2023-10-03 17:48:52.936986,2023-10-03 18:02:28.911296,0 days 00:13:35.974310,35,kaiming,3,0.00020817303269687898,0.00204916808586455,0,COMPLETE
